id,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals
5035,"rgb(8,48,107)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(120,32,21)"
5037,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
5039,"rgb(33,113,181)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)"
5041,"rgb(8,48,107)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(62,15,85)","rgb(120,32,21)","rgb(105,105,105)"
5043,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)"
5045,"rgb(198,219,239)","rgb(91,114,20)","rgb(227,149,95)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
5047,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
5049,"rgb(66,146,198)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
5051,"rgb(8,81,156)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
5053,"rgb(107,174,214)","rgb(179,219,51)","rgb(129,66,23)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5055,"rgb(8,48,107)","rgb(179,219,51)","rgb(158,81,28)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
5057,"rgb(8,48,107)","rgb(45,56,10)","rgb(100,51,18)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(105,105,105)"
5059,"rgb(33,113,181)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,156,166)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
5061,"rgb(8,48,107)","rgb(45,56,10)","rgb(100,51,18)","rgb(0,124,132)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)"
5063,"rgb(8,81,156)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,156,166)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
5065,"rgb(33,113,181)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5067,"rgb(8,48,107)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(105,105,105)"
5069,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(105,105,105)"
5071,"rgb(8,48,107)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
5073,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
5075,"rgb(66,146,198)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)"
5077,"rgb(8,48,107)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,60,64)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
5079,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
5081,"rgb(66,146,198)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)"
5083,"rgb(8,81,156)","rgb(138,171,31)","rgb(158,81,28)","rgb(0,124,132)","rgb(41,10,56)","rgb(120,32,21)","rgb(105,105,105)"
5085,"rgb(66,146,198)","rgb(200,229,109)","rgb(129,66,23)","rgb(13,240,255)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
5087,"rgb(66,146,198)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,124,132)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
5089,"rgb(107,174,214)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,92,98)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
5091,"rgb(8,48,107)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(120,32,21)"
